what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522449326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522450044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522450044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522450123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522476872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522505152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522505168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522505231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522521261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522537902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522537902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522537980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522543526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522554401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522555354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367522555370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367522577135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522578244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522579479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367522584650
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367522587744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522588853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522588853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522588916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522590244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522600619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522600619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522600697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522601916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522612603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522612603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522612712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522615743
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367522624040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522625243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522642290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367522697601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367522699085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522703038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522704272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522705272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522705272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522705319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522710725
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367522814098
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367522815316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367522848737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1367522874690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367522877737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1367522914689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522924392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522924392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522924454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522927189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522933673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522933673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522933766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522935548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367522956344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367522957672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367522980609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367522986250
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367522988406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522990078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522990078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522990140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367522992577
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1367523033780
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1367523033826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523054201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523082935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367523094325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367523110184
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367523113168
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367523118637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1367523122184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523124871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523125949
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367523128652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367523132777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1367523134918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367523139183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367523162401
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367523163448
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367523163448
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367523164370
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367523164370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523167120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523167120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523167214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523168135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523169026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523169979
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367523171042
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1367523202681
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1367523202713
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1367523202728
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1367523202744
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1367523202744
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1367523202760
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1367523202760
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1367523202760
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1367523202775
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1367523202791
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1367523202822
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1367523202822
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1367523202822
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1367523202838
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1367523202838
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1367523202853
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1367523202869
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1367523202869
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1367523202885
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1367523202900
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1367523202916
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1367523202916
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1367523202931
stopped,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1367523202931
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1367523202931
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1367523202931
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1367523202947
